time,open,high,low,close,atr_1.5,EMA20COLOR,aroon_strength
2024-07-18 16:35:00,18447.9,18448.94,18426.36,18435.31,False,Red,Neutro
2024-07-18 16:40:00,18434.34,18434.34,18408.84,18419.33,False,Red,Forte Baixa
2024-07-18 16:45:00,18418.32,18420.32,18390.34,18414.35,False,Red,Forte Baixa
2024-07-18 16:50:00,18414.96,18423.37,18399.88,18418.35,False,Red,Forte Baixa
2024-07-18 16:55:00,18417.05,18422.91,18390.35,18402.39,False,Red,Forte Baixa
2024-07-18 17:00:00,18401.39,18420.39,18392.39,18407.36,False,Red,Médio
2024-07-18 17:05:00,18407.92,18413.39,18392.0,18399.39,False,Red,Médio
2024-07-18 17:10:00,18398.4,18406.89,18389.36,18390.95,False,Red,Forte Baixa
2024-07-18 17:15:00,18391.37,18399.11,18377.38,18377.99,False,Red,Forte Baixa
2024-07-18 17:20:00,18378.41,18382.42,18366.42,18369.4,False,Red,Forte Baixa
2024-07-18 17:25:00,18370.94,18378.13,18359.96,18362.42,False,Red,Forte Baixa
2024-07-18 17:30:00,18361.02,18372.0,18347.99,18352.42,False,Red,Forte Baixa
2024-07-18 17:35:00,18351.96,18374.44,18351.42,18370.95,False,Red,Forte Baixa
2024-07-18 17:40:00,18370.43,18380.46,18363.41,18367.03,False,Red,Forte Baixa
2024-07-18 17:45:00,18365.96,18373.01,18349.46,18349.46,False,Red,Médio
2024-07-18 17:50:00,18350.05,18363.45,18347.98,18354.45,False,Red,Forte Baixa
2024-07-18 17:55:00,18354.97,18355.1,18339.01,18339.46,False,Red,Forte Baixa
2024-07-18 18:00:00,18338.46,18344.48,18328.06,18331.02,False,Red,Forte Baixa
2024-07-18 18:05:00,18330.44,18351.49,18325.46,18349.48,False,Red,Forte Baixa
2024-07-18 18:10:00,18349.05,18349.05,18332.01,18338.23,False,Red,Forte Baixa
2024-07-18 18:15:00,18338.48,18338.48,18325.48,18334.46,False,Red,Forte Baixa
2024-07-18 18:20:00,18334.09,18345.5,18327.49,18331.49,False,Red,Médio
2024-07-18 18:25:00,18330.49,18343.5,18329.52,18339.5,False,Red,Médio
2024-07-18 18:30:00,18338.5,18358.52,18330.49,18358.52,False,Red,Médio
2024-07-18 18:35:00,18357.5,18364.26,18348.52,18363.53,False,Red,Médio
2024-07-18 18:40:00,18363.17,18363.52,18352.52,18362.53,False,Red,Médio
2024-07-18 18:45:00,18362.13,18371.55,18359.54,18360.54,False,White,Neutro
2024-07-18 18:50:00,18359.53,18369.22,18359.51,18366.54,False,White,Neutro
2024-07-18 18:55:00,18365.56,18379.55,18365.53,18378.51,False,White,Neutro
2024-07-18 19:00:00,18377.55,18383.09,18373.15,18373.55,False,Green,Neutro
2024-07-18 19:05:00,18372.14,18372.55,18356.56,18357.57,False,White,Forte Alta
2024-07-18 19:10:00,18358.3,18372.58,18357.56,18369.09,False,White,Forte Alta
2024-07-18 19:15:00,18368.58,18372.22,18362.57,18371.58,False,White,Médio
2024-07-18 19:20:00,18371.15,18381.56,18370.56,18375.58,False,Green,Médio
2024-07-18 19:25:00,18376.15,18376.18,18365.59,18371.12,False,White,Médio
2024-07-18 19:30:00,18371.59,18376.6,18367.6,18367.6,False,White,Médio
2024-07-18 19:35:00,18367.2,18369.6,18362.16,18363.62,False,White,Médio
2024-07-18 19:40:00,18364.6,18367.62,18358.58,18358.58,False,White,Neutro
